date,time_il,symbol,phase,price,score,vol_pct,rsi,rs,is_explosion,alpha_needed,vol_needed,spy_day
2026-04-14,17:55,CLSK,NORMAL,11.56,55,57,65.8,0.04,False,80,130,0.58
2026-04-14,17:55,CIFR,NORMAL,19.12,55,78,68.7,0.15,False,80,130,0.58
2026-04-14,17:55,SOFI,NORMAL,17.91,55,61,69.1,0.01,False,80,130,0.58
2026-04-14,17:55,NU,NORMAL,15.4,70,79,69.0,0.03,False,80,130,0.58
2026-04-14,17:55,RIVN,NORMAL,16.04,70,51,54.8,-0.0,False,80,130,0.58
2026-04-14,17:55,NIO,NORMAL,6.59,70,49,59.8,-0.04,False,80,130,0.58
2026-04-14,17:55,SOUN,NORMAL,7.03,70,30,60.4,0.07,False,80,130,0.58
2026-04-14,17:55,BBAI,NORMAL,3.58,55,41,65.2,-0.0,False,80,130,0.58
2026-04-14,17:55,PLUG,NORMAL,2.95,70,51,62.2,-0.17,False,80,130,0.58
2026-04-14,17:55,OPEN,NORMAL,4.53,58,92,72.5,-0.0,False,80,130,0.58
2026-04-14,17:55,PTON,NORMAL,4.86,66,57,73.7,0.1,False,80,130,0.58
